Query,Relevant Axioms IDs,Size of relevant axioms,Word2Vec_Ranking,BERT_Ranking,SBERT_Ranking,SapBERT_Ranking,owl2vec_iri_Ranking,owl2vec_Ranking,owl2vec_pretrained_Ranking
En echelon: a set of parallel fault surfaces that lie between two bounding surfaces and are inclined at an angle to the bounding surfaces.,['91'],1,"['139', '172', '28', '91', '68', '140', '63', '194', '7', '195']","{'74': 0.8809614, '6': 0.8570154, '43': 0.85245794, '184': 0.8439039, '200': 0.84243596, '99': 0.83489287, '138': 0.8347696, '96': 0.8331299, '69': 0.8322073, '222': 0.8280309}","{'69': 0.6005568, '172': 0.58911014, '6': 0.58625585, '89': 0.57497466, '127': 0.5730788, '161': 0.56594396, '91': 0.5586427, '7': 0.55806845, '74': 0.507542, '222': 0.4574535}","{'91': 0.67511654, '173': 0.656521, '222': 0.6500169, '122': 0.64755946, '26': 0.64701223, '146': 0.6403091, '84': 0.6305313, '69': 0.62857866, '115': 0.62219465, '2': 0.6155366}","{'44': 0.9461549, '131': 0.945007, '88': 0.9418354, '212': 0.940809, '1': 0.9312223, '56': 0.9289839, '50': 0.92635804, '170': 0.9239459, '222': 0.91729814, '220': 0.9163762}","{'212': 0.9713942, '13': 0.9620562, '32': 0.9607454, '222': 0.9597482, '28': 0.9577828, '152': 0.95713085, '66': 0.9544762, '203': 0.9524338, '156': 0.95168465, '220': 0.9505024}","{'212': 0.9978224, '42': 0.99768233, '119': 0.9976691, '63': 0.9976603, '194': 0.9976414, '159': 0.9970314, '66': 0.997005, '156': 0.9969273, '181': 0.99692196, '33': 0.9963673}"
Fault Surface Shape: a quality is quality_of some Fault Surface. It does not reflect the exact topological specifications of a surface shape but an abstract geometry.,"['140', '195', '172']",3,"['140', '195', '28', '139', '7', '172', '63', '207', '39', '46']","{'195': 0.8956526, '46': 0.8941036, '140': 0.88718027, '156': 0.88470876, '181': 0.86756384, '172': 0.8669313, '28': 0.8571882, '69': 0.85652244, '105': 0.85459805, '178': 0.8473577}","{'195': 0.7136646, '140': 0.6888716, '46': 0.55109423, '156': 0.523728, '69': 0.5085973, '7': 0.47635934, '170': 0.44776738, '127': 0.41898376, '163': 0.4064815, '124': 0.4008948}","{'140': 0.8930615, '195': 0.87716347, '172': 0.81442314, '46': 0.79814136, '7': 0.7655736, '156': 0.7477375, '69': 0.71473384, '6': 0.71224594, '86': 0.69131684, '182': 0.6899531}","{'140': 0.9482997, '99': 0.9469028, '172': 0.9458196, '19': 0.94418335, '50': 0.9421842, '16': 0.93820566, '78': 0.9374723, '178': 0.9358702, '170': 0.935498, '105': 0.9319151}","{'140': 0.9742909, '78': 0.9730816, '170': 0.97240067, '46': 0.9723285, '16': 0.9710655, '105': 0.9694382, '178': 0.96920544, '129': 0.9684822, '163': 0.96038234, '124': 0.95999014}","{'124': 0.9992445, '89': 0.99914485, '53': 0.9988356, '107': 0.9988232, '104': 0.9988203, '90': 0.9988183, '71': 0.99881095, '207': 0.9988027, '139': 0.99860626, '68': 0.99857503}"
It is a BFO temporal interval that corresponds to a time interval within the Geological Time Scale.,['14'],1,"['14', '61', '114', '66', '124', '181', '111', '163', '156', '6']","{'14': 0.85204244, '6': 0.7432693, '74': 0.71577394, '159': 0.71015334, '19': 0.70977294, '66': 0.70832825, '21': 0.7069441, '181': 0.7056006, '35': 0.6914301, '196': 0.6825963}","{'14': 0.74604934, '80': 0.53249085, '128': 0.5146229, '142': 0.43499398, '120': 0.38722277, '159': 0.36539066, '181': 0.33302268, '66': 0.31612948, '114': 0.30809388, '124': 0.24892557}","{'14': 0.7345743, '21': 0.6458297, '66': 0.64346856, '142': 0.61988205, '120': 0.61895144, '128': 0.6177242, '144': 0.6163037, '112': 0.6086476, '117': 0.60739386, '4': 0.5962093}","{'14': 0.947747, '128': 0.93958104, '142': 0.93824214, '131': 0.93428165, '44': 0.93265915, '1': 0.93246436, '207': 0.93131775, '91': 0.9302745, '115': 0.92970663, '122': 0.9290047}","{'117': 0.9582576, '84': 0.9578205, '4': 0.9570154, '2': 0.9566668, '11': 0.9563875, '14': 0.9549152, '75': 0.9546939, '142': 0.9519895, '128': 0.95112026, '115': 0.95102525}","{'61': 0.99934137, '137': 0.9990846, '166': 0.9990817, '153': 0.9990808, '97': 0.9990776, '185': 0.9990746, '149': 0.9990738, '40': 0.9990729, '182': 0.99907196, '24': 0.9990677}"
Antithetic Fault: a Subsidiary Fault. It can be realized when a Fault Zone having a dip direction cojugate to that of the Major Fault Zone belonging to the same Fault System.,['137'],1,"['108', '212', '222', '220', '153', '53', '193', '90', '40', '36']","{'146': 0.901791, '161': 0.8960094, '53': 0.8932863, '108': 0.89175725, '141': 0.8851005, '36': 0.8823545, '40': 0.8819281, '153': 0.8795809, '96': 0.8752216, '212': 0.8743163}","{'138': 0.74539894, '108': 0.7302487, '220': 0.71792585, '141': 0.64566493, '43': 0.637978, '161': 0.60167634, '89': 0.6006645, '222': 0.5595327, '156': 0.55716133, '127': 0.5387447}","{'108': 0.7543583, '220': 0.7168204, '154': 0.6667806, '200': 0.6574834, '99': 0.6473118, '69': 0.63619673, '146': 0.63374007, '53': 0.6256639, '89': 0.6180006, '104': 0.60852253}","{'131': 0.9451288, '220': 0.94497025, '44': 0.94414854, '138': 0.94163644, '102': 0.94099325, '88': 0.93634576, '170': 0.92488444, '50': 0.9246752, '105': 0.9243595, '212': 0.9115484}","{'152': 0.9701433, '220': 0.96521384, '156': 0.9638141, '11': 0.9631, '66': 0.9625236, '120': 0.96241665, '22': 0.9617812, '181': 0.9615638, '84': 0.959693, '212': 0.95531005}","{'212': 0.99917173, '159': 0.9991164, '33': 0.999005, '119': 0.99897194, '42': 0.9989678, '63': 0.9989616, '194': 0.99895895, '156': 0.9988467, '181': 0.9988386, '66': 0.99882066}"
"Damage Zone: a geological object that is part_of only Fault Zone, externally connected with some Fault Core, and part_of some Fault Wall. It accommodates the low-strain and less intense brittle deformation.","['150', '185', '85', '104', '143', '119']",6,"['119', '63', '7', '42', '146', '69', '89', '11', '166', '24']","{'22': 0.90399915, '2': 0.8996203, '11': 0.89596295, '53': 0.89544857, '153': 0.8942745, '152': 0.8932358, '84': 0.8896861, '108': 0.88833785, '40': 0.88777, '141': 0.8839469}","{'104': 0.7679802, '185': 0.763805, '143': 0.7591498, '149': 0.74749494, '119': 0.7350869, '89': 0.71444404, '146': 0.6979382, '69': 0.69390583, '85': 0.6891686, '7': 0.6499468}","{'104': 0.80262136, '185': 0.7938642, '146': 0.7770274, '143': 0.76391083, '149': 0.762154, '119': 0.7458569, '165': 0.7263718, '144': 0.723158, '89': 0.710575, '30': 0.70216036}","{'11': 0.93908805, '203': 0.93815285, '22': 0.93324494, '84': 0.9276939, '186': 0.9244673, '137': 0.92207766, '166': 0.92085445, '155': 0.9207276, '152': 0.919232, '78': 0.91284156}","{'222': 0.92611164, '212': 0.9211379, '203': 0.91180295, '152': 0.91130936, '159': 0.89151996, '33': 0.8889364, '137': 0.88787574, '45': 0.8860646, '66': 0.88446426, '220': 0.8778563}","{'124': 0.9992172, '89': 0.99897456, '53': 0.99888843, '90': 0.9988746, '104': 0.9988745, '107': 0.9988715, '71': 0.99886996, '139': 0.9987312, '68': 0.9986203, '207': 0.9985991}"
Fault Orientation: a quality is quality_of some Fault Surface Location. It measures the orientation properties of a Fault Surface.,"['19', '46', '99', '200', '132']",5,"['46', '7', '140', '6', '195', '132', '105', '69', '89', '200']","{'46': 0.9283208, '140': 0.888085, '6': 0.884037, '99': 0.88392955, '195': 0.88335466, '69': 0.8825462, '200': 0.8823251, '156': 0.8788362, '105': 0.8744577, '96': 0.86951935}","{'46': 0.79224324, '195': 0.7506877, '132': 0.7437549, '140': 0.7333728, '156': 0.6041, '69': 0.5972549, '7': 0.5853275, '89': 0.5709473, '6': 0.54672444, '222': 0.49497187}","{'46': 0.8913234, '132': 0.7832136, '222': 0.7513034, '7': 0.7416718, '173': 0.7362052, '140': 0.71433866, '19': 0.7039442, '99': 0.68447536, '179': 0.68226504, '86': 0.675172}","{'99': 0.9545676, '19': 0.95053315, '50': 0.9457106, '46': 0.9404248, '170': 0.9395766, '105': 0.93844837, '62': 0.93740445, '201': 0.9372083, '140': 0.93583494, '78': 0.9333389}","{'46': 0.9736821, '105': 0.9729419, '140': 0.97232664, '129': 0.9684495, '170': 0.9662597, '16': 0.96373475, '78': 0.962642, '7': 0.9555027, '163': 0.95513594, '124': 0.95306593}","{'140': 0.9995814, '46': 0.99958056, '129': 0.99957144, '105': 0.99956965, '32': 0.9995395, '28': 0.9995382, '13': 0.999538, '169': 0.9993686, '29': 0.9992722, '52': 0.9992107}"
Strike Separation: it is the separation measured along the strike of the fault.,['201'],1,"['201', '62', '150', '19', '105', '198', '88', '212', '85', '184']","{'43': 0.89254457, '72': 0.8895857, '99': 0.88029826, '184': 0.88005066, '201': 0.878664, '200': 0.87714726, '88': 0.8771153, '96': 0.8701017, '222': 0.86549383, '6': 0.86133444}","{'201': 0.8005791, '72': 0.55733573, '131': 0.54343295, '105': 0.5195528, '62': 0.5179039, '44': 0.5122471, '150': 0.48333663, '148': 0.47670737, '222': 0.45838964, '127': 0.3547156}","{'201': 0.8203396, '62': 0.7421055, '198': 0.72630274, '131': 0.7216705, '105': 0.71886635, '72': 0.7104976, '150': 0.6993357, '44': 0.6988767, '148': 0.6861193, '28': 0.62323403}","{'105': 0.9203608, '201': 0.91054565, '62': 0.91034055, '150': 0.90824217, '198': 0.90807956, '16': 0.89440256, '178': 0.8932167, '78': 0.89047736, '50': 0.88759166, '220': 0.88639313}","{'150': 0.91372347, '198': 0.9092918, '220': 0.9052176, '105': 0.893091, '212': 0.8916779, '16': 0.88988435, '46': 0.8844135, '140': 0.88048303, '13': 0.8784776, '28': 0.87836653}","{'52': 0.9992693, '169': 0.99925375, '28': 0.99923766, '13': 0.9992372, '32': 0.9992335, '46': 0.9991871, '129': 0.9991728, '29': 0.99916065, '178': 0.9987636, '121': 0.99876064}"
An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,"['67', '160', '124', '33', '166', '109']",6,"['167', '5', '126', '92', '162', '176', '114', '65', '174', '67']","{'167': 0.89328766, '126': 0.89161885, '162': 0.88182205, '5': 0.8750324, '114': 0.8695705, '157': 0.8622302, '208': 0.85936886, '181': 0.85603774, '92': 0.8552697, '176': 0.8506465}","{'5': 0.6510923, '167': 0.6362685, '20': 0.6292925, '126': 0.5968232, '174': 0.55059767, '51': 0.4990815, '162': 0.47357148, '114': 0.47223783, '10': 0.4674851, '92': 0.40737185}","{'5': 0.7936039, '167': 0.7764363, '20': 0.73629254, '126': 0.70975786, '10': 0.6831466, '51': 0.67965126, '92': 0.6741204, '174': 0.6726827, '114': 0.6399265, '176': 0.6294661}","{'131': 0.94330984, '44': 0.9411387, '88': 0.9313061, '19': 0.9274155, '99': 0.92682415, '1': 0.9232436, '9': 0.92175597, '139': 0.92041886, '102': 0.91523325, '50': 0.91487354}","{'124': 0.98226655, '11': 0.9805232, '22': 0.97993857, '163': 0.9797281, '155': 0.9792636, '84': 0.9791612, '2': 0.97778755, '4': 0.9764491, '117': 0.97545606, '203': 0.9737964}","{'124': 0.9994364, '53': 0.99921256, '104': 0.9992123, '90': 0.99921054, '71': 0.9992103, '107': 0.9992102, '89': 0.9991962, '68': 0.9988968, '122': 0.99869484, '207': 0.998611}"
"Fault Zone: a geological object that is part_of  some Fault Volume. A Fault Zone is participates_in some Brittle Shear Deformation, and Fault Zone has_part some Fault Core and has_part some Damage Zone.","['29', '40', '169', '36', '162', '69', '185', '146', '165', '104', '90', '53', '141', '89', '107', '154']",16,"['146', '89', '69', '53', '153', '40', '90', '165', '222', '212']","{'153': 0.8918462, '152': 0.8858086, '40': 0.88284147, '108': 0.8800173, '141': 0.87937963, '22': 0.8793256, '2': 0.8773325, '36': 0.8769008, '149': 0.87158144, '84': 0.8713368}","{'165': 0.70198935, '53': 0.6804173, '104': 0.6642239, '40': 0.6609906, '90': 0.6568278, '89': 0.65025586, '141': 0.6466874, '146': 0.6183914, '69': 0.6154591, '222': 0.54134315}","{'104': 0.82341725, '185': 0.7882409, '146': 0.782321, '53': 0.7788182, '90': 0.7555996, '165': 0.7334557, '30': 0.73051655, '40': 0.72998065, '153': 0.7283181, '119': 0.71777165}","{'203': 0.8951264, '11': 0.8918732, '166': 0.8873022, '178': 0.88606787, '78': 0.88582116, '170': 0.88196003, '50': 0.881948, '155': 0.88140327, '152': 0.88128257, '212': 0.8649549}","{'222': 0.9036637, '152': 0.9025079, '203': 0.901318, '212': 0.90048075, '159': 0.8915498, '71': 0.89024305, '33': 0.88783556, '90': 0.88753814, '7': 0.8829363, '66': 0.8712602}","{'16': 0.99951714, '176': 0.9993335, '195': 0.9993328, '113': 0.9993324, '132': 0.9993313, '82': 0.9993231, '73': 0.9993132, '54': 0.999119, '98': 0.9990606, '125': 0.9990462}"
It is a 'relational quality' that 'inheres in' two distinct 'geological object' that are 'externally connected with',['9'],1,"['124', '66', '163', '9', '181', '148', '156', '207', '63', '61']","{'181': 0.81046736, '124': 0.80044127, '163': 0.79546124, '114': 0.78917134, '120': 0.78831726, '203': 0.78642404, '17': 0.7856079, '196': 0.78484356, '50': 0.7806586, '220': 0.7797373}","{'9': 0.6559508, '163': 0.57990074, '181': 0.5646872, '124': 0.5337669, '61': 0.531951, '66': 0.5148944, '114': 0.48115796, '203': 0.4617918, '159': 0.45626947, '33': 0.4291211}","{'181': 0.7102848, '66': 0.70530444, '9': 0.68712485, '117': 0.6691034, '124': 0.66173637, '98': 0.6541989, '163': 0.6529545, '114': 0.6467849, '120': 0.64025843, '143': 0.62320215}","{'131': 0.93389064, '44': 0.9293883, '88': 0.92146194, '14': 0.9183793, '139': 0.9135071, '102': 0.91224545, '19': 0.9121655, '138': 0.9119927, '68': 0.9115496, '56': 0.91090995}","{'120': 0.9889339, '146': 0.98644257, '42': 0.9836483, '119': 0.983138, '63': 0.98274183, '194': 0.9821839, '22': 0.9821479, '2': 0.98175055, '11': 0.98135686, '155': 0.9804306}","{'194': 0.99945486, '119': 0.9994522, '63': 0.9994502, '42': 0.9994444, '212': 0.99916166, '159': 0.9990347, '66': 0.99902385, '152': 0.99900573, '156': 0.9989861, '181': 0.99898404}"
"Cataclasite: a cohesive Brittle Fault Rock containing maximum in volume 30% “large” clasts 
Superclass: Brittle Fault Rock (Def.13)","['37', '50']",2,"['37', '31', '84', '11', '186', '22', '96', '2', '192', '146']","{'31': 0.8454356, '37': 0.8403063, '192': 0.82777977, '84': 0.8272791, '11': 0.82194024, '22': 0.8167509, '152': 0.81381375, '196': 0.8094261, '137': 0.80722475, '35': 0.79698586}","{'37': 0.8629045, '186': 0.6915721, '31': 0.6869345, '84': 0.681931, '22': 0.6415497, '11': 0.6066314, '146': 0.53921854, '50': 0.5377016, '2': 0.5352876, '114': 0.37768787}","{'37': 0.72217387, '192': 0.64873165, '50': 0.6168499, '186': 0.59057486, '31': 0.5649141, '124': 0.5614011, '22': 0.56097937, '33': 0.5527785, '11': 0.54939836, '130': 0.54751736}","{'37': 0.8655728, '50': 0.85658145, '186': 0.8551644, '192': 0.8544095, '129': 0.85389686, '96': 0.8499603, '105': 0.83494174, '170': 0.8339377, '78': 0.8267323, '11': 0.8252803}","{'50': 0.8517384, '37': 0.83147275, '170': 0.8030854, '16': 0.79835045, '78': 0.7945005, '178': 0.786735, '105': 0.78082913, '129': 0.7805772, '100': 0.7733046, '52': 0.7710605}","{'222': 0.99655056, '133': 0.99572164, '144': 0.995717, '130': 0.9956966, '62': 0.99565625, '7': 0.9956453, '120': 0.9956218, '34': 0.9956136, '35': 0.99546355, '118': 0.9954256}"
Horst and Graben: a set oFault Wall that are altrernately moved up and down along normal faults.,"['35', '186', '197']",3,"['187', '35', '76', '196', '52', '94', '182', '71', '24', '42']","{'187': 0.8836478, '35': 0.8611161, '146': 0.8592017, '40': 0.8590969, '153': 0.85444176, '76': 0.85322607, '152': 0.8417571, '196': 0.838765, '2': 0.838502, '212': 0.8302228}","{'187': 0.68710285, '94': 0.64881927, '76': 0.6447309, '196': 0.61078715, '35': 0.6081738, '127': 0.4857922, '74': 0.48025993, '43': 0.46476734, '156': 0.43562058, '222': 0.39942953}","{'94': 0.7882809, '187': 0.7699542, '196': 0.6439945, '76': 0.6331488, '188': 0.62606966, '35': 0.6240815, '23': 0.61248803, '52': 0.6121371, '182': 0.59761953, '198': 0.5895958}","{'212': 0.89630944, '35': 0.8930409, '76': 0.89261776, '94': 0.89244986, '196': 0.8924279, '187': 0.892123, '222': 0.8783659, '52': 0.875014, '23': 0.874351, '95': 0.86719835}","{'76': 0.9034561, '94': 0.9020116, '222': 0.8913194, '52': 0.87907314, '212': 0.87694854, '35': 0.87659204, '196': 0.87362516, '32': 0.8723236, '13': 0.8682675, '23': 0.8673905}","{'89': 0.99820364, '124': 0.99801016, '71': 0.9979522, '53': 0.99793845, '90': 0.9979383, '186': 0.99752593, '96': 0.99752283, '138': 0.99751097, '102': 0.99750155, '19': 0.9974938}"
Rock Volume: a fiat object part part_of some geological object and constituted_by some amount of rock.,"['86', '70', '98', '59', '130', '196']",6,"['97', '130', '66', '124', '33', '117', '159', '144', '181', '75']","{'97': 0.86572963, '203': 0.85567886, '181': 0.84728146, '66': 0.84015054, '124': 0.8393419, '120': 0.8291276, '117': 0.8199552, '133': 0.8190902, '100': 0.81863964, '196': 0.8078327}","{'130': 0.7904025, '66': 0.67252666, '124': 0.6431919, '97': 0.63802433, '67': 0.6196017, '34': 0.56162655, '203': 0.4635133, '45': 0.44145665, '33': 0.4307614, '163': 0.40711334}","{'130': 0.9051372, '97': 0.86811846, '33': 0.79524046, '70': 0.7743068, '86': 0.764997, '129': 0.7525259, '197': 0.7244766, '113': 0.7179977, '31': 0.71754706, '59': 0.7162123}","{'203': 0.8582459, '152': 0.8521458, '11': 0.84921575, '166': 0.8396081, '155': 0.838514, '22': 0.8351034, '78': 0.8308339, '170': 0.83033574, '212': 0.82591015, '222': 0.82268375}","{'222': 0.86407703, '212': 0.8443168, '203': 0.8343032, '152': 0.8311243, '71': 0.8243719, '107': 0.82216597, '90': 0.82048875, '159': 0.81840914, '7': 0.804336, '66': 0.79936177}","{'140': 0.9993544, '129': 0.99935174, '46': 0.9993498, '105': 0.99934894, '100': 0.99924695, '170': 0.9991856, '141': 0.9991142, '108': 0.9991031, '45': 0.99909586, '78': 0.99909097}"
An object that is 'generated by' some 'geological process' and has at least one part 'constituted by' some 'earth material' that is not an 'earth fluid'.,"['8', '66', '144', '117', '165', '203', '118', '121', '181', '98', '159', '143', '97', '61', '163', '26', '18', '30', '125']",19,"['203', '75', '159', '33', '117', '66', '124', '109', '41', '120']","{'181': 0.82680243, '87': 0.8253781, '190': 0.81791025, '98': 0.81239057, '133': 0.8107326, '109': 0.80583644, '203': 0.800457, '120': 0.79623896, '163': 0.795484, '114': 0.78927493}","{'203': 0.7490818, '159': 0.65932435, '75': 0.6539702, '117': 0.6290318, '120': 0.57708037, '33': 0.4996775, '181': 0.4991771, '163': 0.48302904, '66': 0.46427763, '124': 0.44141185}","{'203': 0.890982, '75': 0.84261674, '117': 0.8294179, '41': 0.8034486, '159': 0.79673123, '163': 0.7944951, '180': 0.7942054, '124': 0.7879135, '120': 0.7728649, '147': 0.76845956}","{'203': 0.9309039, '4': 0.9159548, '118': 0.9154531, '11': 0.9129352, '178': 0.9112994, '155': 0.9095112, '16': 0.90942955, '78': 0.9087663, '58': 0.9085415, '84': 0.90766174}","{'159': 0.9657491, '33': 0.9656105, '53': 0.96543425, '203': 0.9642914, '104': 0.9637618, '90': 0.9637121, '71': 0.96258664, '107': 0.96241987, '152': 0.96060073, '118': 0.95772576}","{'124': 0.9995713, '163': 0.9995572, '90': 0.9995404, '53': 0.9995402, '107': 0.99954, '104': 0.99954, '71': 0.99953794, '85': 0.99939406, '161': 0.9993929, '157': 0.9989521}"
Fault Surface: a two-dimensional continuant fiat boundary related to a Fault Zone. It corresponds to the locus surface of the points that are equally distant to the two Fault Wall of the related Fault Zone.,"['7', '69', '140', '90', '127']",5,"['7', '69', '89', '161', '85', '127', '6', '119', '46', '156']","{'74': 0.90320796, '69': 0.9022186, '161': 0.8873428, '6': 0.8799895, '89': 0.87913144, '40': 0.866737, '7': 0.8664272, '108': 0.8615809, '212': 0.85797834, '222': 0.84879667}","{'127': 0.83909243, '74': 0.76327455, '89': 0.6949484, '161': 0.69077516, '69': 0.68096447, '85': 0.64358485, '6': 0.6330213, '7': 0.61465013, '21': 0.58579034, '222': 0.5467851}","{'69': 0.8520823, '127': 0.8503002, '89': 0.8380809, '6': 0.80582684, '7': 0.77957445, '40': 0.76833564, '104': 0.7660562, '185': 0.75888085, '108': 0.7527156, '90': 0.74180007}","{'220': 0.9330779, '131': 0.93279845, '139': 0.93252444, '68': 0.9319964, '44': 0.9314988, '134': 0.9309348, '28': 0.92614055, '194': 0.92421174, '63': 0.9226707, '102': 0.91727996}","{'220': 0.9786594, '11': 0.9721184, '22': 0.9709687, '2': 0.9686659, '84': 0.9675854, '120': 0.96733433, '155': 0.9672887, '4': 0.9650341, '66': 0.95692307, '212': 0.9534957}","{'212': 0.99927604, '203': 0.99918634, '7': 0.99900365, '152': 0.9989878, '159': 0.9989131, '119': 0.9988126, '42': 0.99880636, '194': 0.99880314, '156': 0.99865526, '181': 0.9986534}"
"Oblique Fault: a Fault Structure that is a conjunction of Strike-Slip Fault and Normal Fault, or conjunction of Strike-Slip Fault and Reverse Fault.","['222', '173']",2,"['222', '212', '193', '173', '43', '72', '88', '57', '184', '99']","{'222': 0.9347673, '72': 0.9275646, '131': 0.92328626, '44': 0.9200859, '43': 0.91429114, '88': 0.90976596, '187': 0.8949413, '184': 0.89189965, '116': 0.88377005, '96': 0.8827056}","{'222': 0.89869016, '173': 0.77650434, '72': 0.7472662, '212': 0.6921967, '44': 0.685465, '131': 0.6674088, '43': 0.6594094, '161': 0.60026157, '146': 0.59305847, '156': 0.5413867}","{'222': 0.9459224, '173': 0.8613639, '46': 0.73819876, '72': 0.73540324, '88': 0.7256528, '212': 0.72045434, '19': 0.7185023, '179': 0.71544117, '193': 0.7113514, '132': 0.692443}","{'88': 0.9050026, '212': 0.9041608, '44': 0.90125805, '95': 0.897952, '131': 0.8974953, '179': 0.8972936, '57': 0.8967155, '151': 0.89415514, '222': 0.8925578, '56': 0.89129317}","{'32': 0.96156305, '13': 0.96147656, '28': 0.9565847, '203': 0.9545583, '222': 0.9542282, '212': 0.94916004, '129': 0.94425976, '124': 0.9433942, '140': 0.9425674, '105': 0.9422071}","{'28': 0.9996113, '13': 0.99960726, '32': 0.9996046, '140': 0.9995668, '46': 0.9995621, '105': 0.99956167, '129': 0.99955523, '29': 0.9995015, '169': 0.9994957, '52': 0.9993665}"
Heave: it is the horizontal component of Dip Separation.,['149'],1,"['150', '62', '139', '28', '200', '207', '2', '210', '63', '195']","{'62': 0.81521064, '150': 0.8144182, '68': 0.7996502, '212': 0.7857813, '139': 0.781075, '200': 0.77106756, '220': 0.770751, '19': 0.7556532, '222': 0.7511926, '196': 0.74617857}","{'62': 0.55259764, '150': 0.4835477, '35': 0.3090896, '201': 0.2619685, '198': 0.25368214, '148': 0.23401396, '112': 0.19734356, '14': 0.08747478, '124': 0.045222152, '114': 0.04217844}","{'150': 0.75525093, '62': 0.6943921, '198': 0.63284844, '105': 0.61904836, '148': 0.6165654, '201': 0.6149279, '94': 0.5540936, '134': 0.52844393, '200': 0.5283272, '121': 0.5174142}","{'201': 0.93670547, '62': 0.93652916, '150': 0.9349503, '198': 0.9343726, '105': 0.93047976, '16': 0.9156899, '50': 0.9149963, '178': 0.9130862, '78': 0.911166, '170': 0.91051114}","{'150': 0.94952637, '198': 0.94692, '105': 0.94603497, '46': 0.94040406, '140': 0.9375104, '129': 0.9359933, '220': 0.9359148, '163': 0.93214834, '124': 0.93037623, '166': 0.9269323}","{'96': 0.9985371, '186': 0.99853593, '31': 0.9985218, '99': 0.99852085, '193': 0.99851876, '72': 0.99850744, '200': 0.9985074, '43': 0.9985072, '183': 0.99849796, '192': 0.998492}"
Throw: it is the vertical component of Dip Separation.,['198'],1,"['62', '198', '139', '63', '28', '200', '150', '195', '140', '2']","{'150': 0.7944437, '62': 0.78930795, '68': 0.76743484, '212': 0.7570837, '220': 0.75164634, '139': 0.7458706, '134': 0.7404643, '19': 0.7389677, '115': 0.7362578, '196': 0.72278893}","{'62': 0.5357342, '198': 0.45167133, '28': 0.34955823, '34': 0.34941322, '134': 0.31219333, '139': 0.30956823, '24': 0.25781626, '150': 0.24714236, '112': 0.24016222, '222': 0.15740643}","{'198': 0.7306657, '62': 0.6378646, '99': 0.63262963, '200': 0.6090515, '131': 0.5905343, '201': 0.5772698, '105': 0.5713631, '150': 0.5675419, '44': 0.55798614, '59': 0.5462222}","{'201': 0.9345373, '62': 0.9344349, '150': 0.9328876, '198': 0.9322222, '105': 0.9282695, '16': 0.91421515, '50': 0.9129042, '178': 0.911082, '78': 0.9090788, '170': 0.9082878}","{'150': 0.9507148, '105': 0.9489901, '198': 0.9489038, '46': 0.94399184, '140': 0.94124514, '129': 0.9398269, '220': 0.93948776, '163': 0.93678886, '124': 0.93492866, '166': 0.9314962}","{'96': 0.99888575, '186': 0.9988815, '99': 0.99887687, '193': 0.99887335, '31': 0.99887204, '200': 0.9988643, '192': 0.99885136, '197': 0.99885035, '165': 0.99884653, '148': 0.9988412}"
"Fault Core Lens: a geological object that is part_of some Fault Core, constituted_by some Amount of Rock and has_role some Protolith.","['8', '152', '138']",3,"['8', '30', '18', '11', '137', '22', '152', '144', '165', '166']","{'152': 0.89677006, '153': 0.87275875, '22': 0.8714249, '8': 0.864374, '11': 0.86367226, '40': 0.85934913, '2': 0.8567095, '84': 0.84885454, '35': 0.84146565, '196': 0.83673716}","{'8': 0.7896327, '152': 0.78828955, '137': 0.73951507, '30': 0.7222777, '18': 0.69843614, '22': 0.67747796, '11': 0.6642667, '2': 0.58127207, '66': 0.4795323, '124': 0.46746182}","{'8': 0.83102113, '152': 0.78635466, '30': 0.77956265, '137': 0.74568474, '22': 0.727682, '18': 0.7253554, '53': 0.708601, '153': 0.70581084, '11': 0.7019675, '165': 0.6948144}","{'152': 0.8939081, '11': 0.8893712, '45': 0.88576514, '203': 0.8846931, '155': 0.884043, '129': 0.88356525, '50': 0.8796683, '178': 0.87946737, '170': 0.8771336, '78': 0.87652475}","{'152': 0.8816023, '222': 0.87112087, '203': 0.86955255, '212': 0.8689244, '23': 0.858583, '45': 0.85844487, '159': 0.8544604, '36': 0.85394317, '141': 0.853638, '108': 0.85354835}","{'16': 0.99933314, '76': 0.99918187, '94': 0.99912906, '113': 0.99903613, '195': 0.99903244, '176': 0.9990316, '132': 0.99903107, '82': 0.9990282, '73': 0.9990113, '175': 0.99883705}"
